ACCOUNT,SZÁMLA
ACE,ÁSZ
ACT,TÖRVÉNY
ACTION,AKCIÓ
ACTOR,SZÍNÉSZ
ADDITION,KIEGÉSZÍTÉS
ADVERTISEMENT,HIRDETÉS
ADVICE,TANÁCS
AFRICA,AFRIKA
AFTERNOON,DÉLUTÁN
AGE,KOR
AGENT,ÜGYNÖK
AGREEMENT,MEGEGYEZÉS
AIR,LEVEGŐ
AIRPLANE,REPÜLŐGÉP
AIRPORT,REPÜLŐTÉR
ALARM,RIASZTÁS
ALASKA,ALASZKA
ALIEN,IDEGEN
ALLEY,SIKÁTOR
ALPS,ALPOK
AMAZON,AMAZON
AMBULANCE,MENTŐAUTÓ
AMERICA,AMERIKA
AMUSEMENT,SZÓRAKOZTATÁS
ANCHOR,HORGONY
ANGEL,ANGYAL
ANGER,HARAG
ANGLE,SZÖG
ANIMAL,ÁLLAT
ANT,HANGYA
ANTARCTICA,ANTARKTISZ
ANTHEM,HIMNUSZ
APPARATUS,BERENDEZÉS
APPLE,ALMA
APPLIANCE,KÉSZÜLÉK
APPROVAL,JÓVÁHAGYÁS
APRON,KÖTÉNY
ARC,KÖRÍV
ARCH,BOLTÍV
ARGUMENT,ÉRV
ARITHMETIC,SZÁMTAN
ARM,KAR
ARMOR,PÁNCÉL
ARMY,HADSEREG
ART,MŰVÉSZET
ARTHUR,ARTHUR
ASH,HAMU
ASTRONAUT,ŰRHAJÓS
ATLANTIS,ATLANTISZ
ATTACK,TÁMADÁS
ATTENTION,FIGYELEM
ATTIC,PADLÁS
ATTRACTION,VONZERŐ
AUSTRALIA,AUSZTRÁLIA
AUTHORITY,HATÓSÁG
AVALANCHE,LAVINA
AXE,FEJSZE
AZTEC,AZTÉK
BABY,CSECSEMŐ
BACK,HÁT
BACON,SZALONNA
BADGE,JELVÉNY
BAG,TÁSKA
BAIT,CSALI
BALANCE,EGYENSÚLY
BALL,LABDA
BALLOON,BALLON
BANANA,BANÁN
BAND,ZENEKAR
BANG,DURRANÁS
BANK,BANK
BAR,BÁR
BARBECUE,SÜTÖGETÉS
BARK,UGATÁS
BASE,ALAP
BASKET,KOSÁR
BASS,BASSZUS
BAT,DENEVÉR
BATH,FÜRDŐKÁD
BATTERY,ELEM
BATTLE,CSATA
BATTLESHIP,CSATAHAJÓ
BAY,ÖBÖL
BEACH,STRAND
BEAD,GYÖNGY
BEAM,GERENDA
BEAN,BAB
BEAR,MEDVE
BEARD,SZAKÁLL
BEAST,VADÁLLAT
BEAT,ÜT
BED,ÁGY
BEDROOM,HÁLÓSZOBA
BEE,MÉH
BEEF,MARHAHÚS
BEER,SÖR
BEGGAR,KOLDUS
BEGINNER,KEZDŐ
BEHAVIOR,VISELKEDÉS
BEIJING,PEKING
BELIEF,HIT
BELL,HARANG
BELT,ÖV
BEN,BUDAPEST
BENCH,PAD
BERLIN,BERLIN
BERMUDA,DEBRECEN
BERRY,BOGYÓ
BICYCLE,KERÉKPÁR
BIG,NAGY
BIKINI,BIKINI
BILL,BANKJEGY
BIRD,MADÁR
BIRTH,SZÜLETÉS
BIRTHDAY,SZÜLETÉSNAP
BISCUIT,KEKSZ
BIT,DARAB
BITE,HARAPÁS
BLACKSMITH,KOVÁCS
BLADE,PENGE
BLIND,VAK
BLIZZARD,HÓVIHAR
BLOCK,TÖMB
BLOOD,VÉR
BLOW,ÜTÉS
BLUES,KERINGŐ
BOARD,TÁBLA
BOAT,KENU
BODY,TEST
BOIL,FORRÁS
BOLT,CSAVAR
BOMB,BOMBA
BOND,KÖTVÉNY
BONE,CSONT
BOOK,KÖNYV
BOOM,ROBBANÁS
BOOT,CSIZMA
BORDER,PEREM
BOSS,FŐNÖK
BOTTLE,PALACK
BOUNDARY,HATÁR
BOW,ÍJ
BOWL,TÁL
BOWLER,TEKEGOLYÓ
BOX,DOBOZ
BOXER,BOKSZOLÓ
BRAIN,AGY
BRAKE,FÉK
BRANCH,ÁG
BRASS,SÁRGARÉZ
BRAZIL,BRAZÍLIA
BREAD,KENYÉR
BREAK,SZÜNET
BREAKFAST,REGGELI
BREATH,LEHELET
BRICK,TÉGLA
BRIDE,MENYASSZONY
BRIDGE,HÍD
BROTHER,TESTVÉR
BRUSH,KEFE
BUBBLE,BUBORÉK
BUCK,BAK
BUCKET,VÖDÖR
BUFFALO,BIVALY
BUG,BOGÁR
BUGLE,HARSONA
BUILDING,ÉPÜLET
BULB,IZZÓ
BULL,BIKA
BUN,KONTY
BUNK,HÁLÓZSÁK
BURN,ÉGÉS
BUSH,BOKOR
BUSINESS,ÜZLET
BUTTER,VAJ
BUTTERFLY,PILLANGÓ
BUTTON,GOMB
CABBAGE,KÁPOSZTA
CABLE,KÁBEL
CACTUS,KAKTUSZ
CAESAR,CÉZÁR
CAKE,TORTA
CALCULATOR,SZÁMOLÓGÉP
CALENDAR,NAPTÁR
CALF,BORJÚ
CAMERA,FÉNYKÉPEZŐGÉP
CAMP,TÁBOR
CAN,KONZERV
CANADA,KANADA
CANE,NÁD
CANNON,ÁGYÚ
CANVAS,VÁSZON
CAP,SAPKA
CAPITAL,FŐVÁROS
CAPTAIN,KAPITÁNY
CAPTION,FELIRAT
CAR,AUTÓ
CARD,KÁRTYA
CARE,GONDOSKODÁS
CARPENTER,ÁCS
CARRIAGE,SZEKÉR
CARROT,SÁRGARÉPA
CART,TALICSKA
CASINO,KASZINÓ
CAST,ÖNTVÉNY
CASTLE,VÁR
CAT,MACSKA
CATTLE,MARHA
CAVE,BARLANG
CELERY,ZELLER
CELL,SEJT
CELLAR,PINCE
CEMETERY,TEMETŐ
CENT,FILLÉR
CENTAUR,KENTAUR
CENTER,KÖZPONT
CHAIN,LÁNC
CHAIR,SZÉK
CHALK,KRÉTA
CHANCE,VÉLETLEN
CHANGE,VÁLTOZÁS
CHANNEL,CSATORNA
CHARGE,DÍJ
CHECK,CSEKK
CHEESE,SAJT
CHERRY,CSERESZNYE
CHESS,SAKK
CHEST,MELLKAS
CHICK,CSIBE
CHICKEN,CSIRKE
CHILDREN,GYERMEKEK
CHIN,ÁLL
CHINA,KÍNA
CHIP,FORGÁCS
CHOCOLATE,CSOKOLÁDÉ
CHRISTMAS,KARÁCSONY
CHURCH,TEMPLOM
CIRCLE,KÖR
CLAM,KAGYLÓ
CLASS,OSZTÁLY
CLEOPATRA,KLEOPÁTRA
CLIFF,SZIKLAFAL
CLOAK,KÖPENY
CLOCK,TORONYÓRA
CLOTH,RUHÁZAT
CLOUD,FELHŐ
CLUB,KLUB
COACH,BUSZ
COAL,SZÉN
COAST,VÍZPART
COAT,KABÁT
COBWEB,PÓKHÁLÓ
CODE,KÓD
COFFEE,KÁVÉ
COIL,FASZÉN
COLD,HIDEG
COLLAR,GALLÉR
COLOR,SZÍN
COLUMBUS,KOLUMBUSZ
COMB,FÉSŰ
COMET,ÜSTÖKÖS
COMFORT,KÉNYELEM
COMIC,KÉPREGÉNY
COMMITTEE,BIZOTTSÁG
COMPANY,VÁLLALAT
COMPETITION,VERSENY
COMPOUND,VEGYÜLET
COMPUTER,SZÁMÍTÓGÉP
CONCERT,KONCERT
CONDITION,FELTÉTEL
CONDUCTOR,KARMESTER
CONE,KÚP
CONNECTION,KAPCSOLÓDÁS
CONTRACT,SZERZŐDÉS
CONTROL,ELLENŐRZÉS
COOK,SZAKÁCS
COPPER,RÉZ
COPY,MÁSOLAT
CORD,ZSINÓR
CORK,DUGÓ
CORN,KUKORICA
COTTON,PAMUT
COUGH,KÖHÖGÉS
COUNTRY,ORSZÁG
COURT,BÍRÓSÁG
COVER,FEDEZÉK
COW,TEHÉN
COWBOY,TEHENÉSZ
CRAB,RÁK
CRACK,RÉS
CRACKER,BURGONYASZIROM
CRAFT,KÉZIMUNKA
CRANE,DARU
CRASH,ÜTKÖZÉS
CRATE,LÁDA
CRAYON,ZSÍRKRÉTA
CREAM,KRÉM
CREATOR,TEREMTŐ
CREATURE,TEREMTMÉNY
CREDIT,HITEL
CRIB,GYEREKÁGY
CRICKET,KRIKETT
CRIME,BŰN
CROOK,CSALÓ
CROSS,KERESZT
CROW,VARJÚ
CROWD,TÖMEG
CROWN,KORONA
CRUSADER,KERESZTES
CRUSH,ZÚZÓDÁS
CRYSTAL,KRISTÁLY
CUB,KÖLYÖK
CUCKOO,KAKUKK
CUP,CSÉSZE
CURRENT,ÁRAM
CURRY,FŰSZER
CURTAIN,FÜGGÖNY
CURVE,ÍV
CUSHION,TAKARÓ
CYCLE,CIKLUS
DANCE,TÁNC
DASH,VÁGTA
DATE,RANDEVÚ
DAY,NAP
DEATH,HALÁL
DEBT,ADÓSSÁG
DECISION,DÖNTÉS
DECK,FEDÉLZET
DEER,SZARVAS
DEGREE,FOKOZAT
DELTA,DUNA
DENTIST,FOGORVOS
DESIGN,TERVRAJZ
DESIRE,VÁGY
DESK,ÍRÓASZTAL
DESTRUCTION,MEGSEMMISÍTÉS
DETAIL,RÉSZLET
DEVELOPMENT,FEJLŐDÉS
DIAMOND,GYÉMÁNT
DICE,DOBÓKOCKA
DIGESTION,EMÉSZTÉS
DIME,PENGŐ
DINNER,VACSORA
DINOSAUR,DINOSZAURUSZ
DIRECTION,IRÁNY
DIRECTOR,RENDEZŐ
DIRT,KOSZ
DISCOVERY,FELFEDEZÉS
DISCUSSION,VITA
DISEASE,BETEGSÉG
DISGUST,UNDOR
DISK,KORONG
DISTANCE,TÁVOLSÁG
DISTRIBUTION,OSZTÁS
DIVER,BÚVÁR
DIVISION,OSZTAG
DOCK,TÖLTŐ
DOCTOR,ORVOS
DOG,KUTYA
DOLL,BABA
DOLLAR,DOLLÁR
DONKEY,SZAMÁR
DOOR,AJTÓ
DOWNTOWN,BELVÁROS
DRAFT,TERVEZET
DRAGON,SÁRKÁNY
DRAIN,LEFOLYÓ
DRAWER,FIÓK
DRAWING,RAJZ
DREAM,ÁLOM
DRESS,RUHA
DRESSING,ÖNTET
DRILL,FÚRÓ
DRINK,ITAL
DRIVER,SOFŐR
DRIVING,VEZETÉS
DRONE,DRÓN
DROP,CSEPP
DRUG,DROG
DRUM,DOB
DRYER,SZÁRÍTÓGÉP
DUCK,KACSA
DUST,POR
DWARF,TÖRPE
EAGLE,SAS
EAR,FÜL
EARTH,FÖLD
EARTHQUAKE,FÖLDRENGÉS
EASTER,HÚSVÉT
EDEN,ÉDEN
EDGE,ÉL
EDUCATION,OKTATÁS
EFFECT,HATÁS
EGG,TOJÁS
EGGNOG,TOJÁSLIKŐR
EGYPT,EGYIPTOM
EINSTEIN,EINSTEIN
ELBOW,KÖNYÖK
ELEPHANT,ELEFÁNT
EMBASSY,NAGYKÖVETSÉG
END,VÉG
ENGINE,MOTOR
ENGLAND,ANGLIA
ERROR,HIBA
EUROPE,EURÓPA
EVENT,ESEMÉNY
EXAMPLE,PÉLDA
EXCHANGE,CSERE
EXISTENCE,LÉTEZÉS
EXPANSION,TERJESZKEDÉS
EXPERIENCE,TAPASZTALAT
EXPERT,SZAKÉRTŐ
EYE,SZEM
FACE,ARC
FACT,TÉNY
FAIR,BECSÜLETES
FAIRY,TÜNDÉR
FALL,ŐSZ
FAMILY,CSALÁD
FAN,VENTILÁTOR
FANG,AGYAR
FARM,GAZDASÁG
FARMER,GAZDA
FATHER,APA
FAUCET,CSAPTELEP
FEAR,FÉLELEM
FEAST,LAKOMA
FEATHER,MADÁRTOLL
FEELING,ÉRZÉS
FENCE,KERÍTÉS
FEVER,LÁZ
FICTION,KITALÁCIÓ
FIDDLE,HEGEDŰ
FIELD,TERÜLET
FIGHT,HARC
FIGHTER,HARCOS
FIGURE,ÁBRA
FILE,FÁJL
FILM,FILM
FINGER,UJJ
FIRE,TŰZ
FIREMAN,TŰZOLTÓ
FISH,HAL
FLAG,ZÁSZLÓ
FLAME,LÁNG
FLAT,LAKÁS
FLAVOR,AROMA
FLESH,FRISSESSÉG
FLIGHT,REPÜLŐÚT
FLOCK,NYÁJ
FLOOD,ÁRVÍZ
FLOOR,PADLÓ
FLOWER,VIRÁG
FLUTE,FUVOLA
FLY,LÉGY
FOAM,HAB
FOG,KÖD
FOLD,KARÁM
FOOD,ÉTEL
FOOT,LÁBFEJ
FORCE,ERŐ
FOREST,ERDŐ
FORK,VILLA
FORM,FORMA
FOWL,SZÁRNYAS
FRAME,KERET
FRANCE,FRANCIAORSZÁG
FRICTION,SÚRLÓDÁS
FRIEND,BARÁT
FROG,BÉKA
FROGS,PATENT
FRONT,HOMLOK
FROST,FAGY
FRUIT,GYÜMÖLCS
FUEL,ÜZEMANYAG
FURNITURE,BÚTOR
GAME,JÁTÉK
GANGSTER,BŰNÖZŐ
GARDEN,KERT
GAS,GÁZ
GATE,KAPU
GEAR,FELSZERELÉS
GENIE,DZSINN
GENIUS,ZSENI
GERMANY,NÉMETORSZÁG
GHOST,KÍSÉRTET
GIANT,ÓRIÁS
GIRAFFE,ZSIRÁF
GLACIER,GLECCSER
GLASS,ÜVEG
GLASSES,SZEMÜVEG
GLOVE,KESZTYŰ
GLUE,RAGASZTÓ
GOAT,KECSKE
GOLD,ARANY
GOLDFISH,ARANYHAL
GOLDILOCKS,BOGLÁRKA
GOLF,GOLF
GOOSE,LIBA
GOVERNMENT,KORMÁNY
GOVERNOR,KORMÁNYZÓ
GRACE,KEGYELEM
GRADE,ÉRDEMJEGY
GRAIN,GABONA
GRAPE,SZŐLŐ
GRASS,FŰ
GREECE,GÖRÖGORSZÁG
GREEN,ZÖLD
GREENHOUSE,ÜVEGHÁZ
GRIP,MARKOLAT
GROOM,VŐLEGÉNY
GROUND,TALAJ
GROUP,CSOPORT
GROWTH,NÖVEKEDÉS
GUIDE,ÚTMUTATÓ
GUITAR,GITÁR
GUM,GUMI
GUN,FEGYVER
GYMNAST,TORNÁSZ
HAIR,HAJ
HAIRCUT,HAJVÁGÁS
HALL,ELŐSZOBA
HALLOWEEN,FARSANG
HAM,SONKA
HAMBURGER,HAMBURGER
HAMMER,KALAPÁCS
HAND,KÉZ
HARBOR,KIKÖTŐ
HARMONY,HARMÓNIA
HAT,KALAP
HATE,GYŰLÖL
